,Unnamed: 0,ImageId,EncodedPixels,number_of_ships
35,50,000e37fc6.jpg,,0
47,68,0011a9ccb.jpg,,0
70,92,00189cc36.jpg,,0
79,101,001ac9fa5.jpg,,0
96,121,001f3caca.jpg,,0
101,126,002237256.jpg,,0
116,141,00293fb9e.jpg,,0
127,154,002aef0e2.jpg,,0
129,156,002b96007.jpg,,0
146,175,0030e7fe8.jpg,,0
153,188,0036df7bb.jpg,,0
168,203,00397761d.jpg,,0
174,209,003b34b6e.jpg,,0
194,230,003fcef7b.jpg,,0
211,252,00461addf.jpg,,0
220,261,004a73a8c.jpg,,0
237,279,0052e3bdc.jpg,,0
252,299,0057d1789.jpg,,0
258,305,0059c618d.jpg,,0
260,307,005a65e0d.jpg,,0
262,309,005a782bb.jpg,,0
273,323,005f64ff5.jpg,,0
281,331,00624b4d1.jpg,,0
282,332,00624c7d6.jpg,,0
290,342,0064320fe.jpg,,0
302,358,0069e6715.jpg,,0
319,376,00717ce00.jpg,,0
334,392,007779200.jpg,,0
335,393,0078344d7.jpg,,0
339,397,0079987ec.jpg,,0
349,411,007ce759d.jpg,,0
355,417,00804c4d8.jpg,,0
369,431,0085e527a.jpg,,0
387,452,008a1bdb4.jpg,,0
410,480,0092a3597.jpg,,0
412,482,009315aad.jpg,,0
419,489,009412ee5.jpg,,0
444,518,009d9b565.jpg,,0
450,525,009ecdcd1.jpg,,0
452,527,009f3f058.jpg,,0
454,529,009fcd170.jpg,,0
456,531,00a0969df.jpg,,0
471,547,00a57d4f6.jpg,,0
496,581,00ab68758.jpg,,0
499,586,00acaac4f.jpg,,0
514,603,00b1bf1a2.jpg,,0
548,638,00bc5dcb4.jpg,,0
558,650,00beafd62.jpg,,0
560,652,00bf86cc5.jpg,,0
606,705,00cb64f0b.jpg,,0
618,717,00d12d3bb.jpg,,0
656,755,00e036ef4.jpg,,0
664,763,00e36ca6b.jpg,,0
684,785,00ead99e2.jpg,,0
689,790,00ec1da9d.jpg,,0
704,808,00f103c9b.jpg,,0
714,818,00f31a8aa.jpg,,0
722,830,00f4cfc00.jpg,,0
751,860,00ff5bd0b.jpg,,0
788,900,010b2f6bb.jpg,,0
801,923,010f9d359.jpg,,0
814,937,0113c917b.jpg,,0
828,952,01187f300.jpg,,0
840,964,011c07777.jpg,,0
845,969,011d6d5cc.jpg,,0
864,992,012413c23.jpg,,0
869,997,0126e3200.jpg,,0
875,1004,012b28358.jpg,,0
889,1022,012ed5bf4.jpg,,0
899,1035,0132d82b5.jpg,,0
902,1038,013376057.jpg,,0
903,1039,01337ab2b.jpg,,0
910,1046,013690101.jpg,,0
925,1063,013de0034.jpg,,0
931,1069,013ee251e.jpg,,0
936,1077,0140b622f.jpg,,0
